Year,GDP Growth (%),Inflation Rate (%),Interest Rate (%),Exchange Rate (USD/INR),Fiscal Deficit (% of GDP),Exports (Billion USD),Imports (Billion USD),FDI (Billion USD),Money Supply (M3) Growth (%),Bank Credit Growth (%),Unemployment Rate (%),Private Consumption (% of GDP),Fixed Capital Formation (% of GDP),Trade Balance (Billion USD),^NSEI Close Price,^BSESN Close Price,CCI,Manufacturing PMI
2001,4.823966266,3.779293122,8.591449296,47.18641417,6.24,60963415577,65218276482,5128093562,14.4,28.61941543,7.653,64.3,29.93230964,-4254860905,,3262.330078,100.8441333,
2002,3.803975321,4.297152039,7.907177189,48.61031917,5.91,73452895952,78498759286,5208967106,14.7,32.30648907,7.753,63.9,28.33252481,-5045863334,,3377.280029,100.6184725,
2003,7.860381476,3.805858995,7.30788116,46.58328417,4.28,90838575244,95071869379,3681984671,16.7,31.62626562,7.68,63.5,28.33482571,-4233294135,,5838.959961,100.1755617,
2004,7.922936612,3.767251735,4.910128303,45.31646667,3.88,1.26648E+11,1.39311E+11,5429250990,12,36.19180385,7.625,63.1,30.70814142,-12662376777,,6602.689941,100.817625,
2005,7.923430621,4.24634362,4.855145172,44.099975,4,1.60838E+11,1.83737E+11,7269407226,15,40.06798048,7.552,62.8,32.75533704,-22898356563,,9397.929688,100.6498667,56.3
2006,8.060732572,5.796523376,2.570606702,45.30700833,3.32,1.99974E+11,2.29955E+11,20029119267,19,43.62775243,7.552,62.5,33.58489158,-29981104764,,13786.91016,100.8563,57.5
2007,7.660815067,6.372881356,5.681844065,41.34853333,2.54,2.53078E+11,3.02804E+11,25227740887,22,45.62776475,7.561,62.2,35.81287812,-49726426539,6138.600098,20286.99023,100.7176325,58.7
2008,3.086698059,8.349267049,3.77175625,43.50518333,2.54,2.88902E+11,3.50927E+11,43406277076,19.3,49.55936669,7.656,61.9,34.71795935,-62024910978,2959.149902,9647.30957,98.04744583,55
2009,7.861888833,10.88235294,4.808592108,48.40526667,6.14,2.73752E+11,3.47178E+11,35581372930,17,48.12444791,7.664,61.6,33.95162693,-73425843079,5201.049805,17464.81055,98.31609583,53.5
2010,8.497584702,11.98938992,-1.983859221,45.72581212,6.46,3.75354E+11,4.49974E+11,27396885034,16.9,50.55537498,7.652,61.3,33.23001467,-74620856173,6134.5,20509.08984,99.32295583,57.8
2011,5.241316199,8.911793365,1.317980862,46.67046667,4.89,4.47384E+11,5.66668E+11,36498654598,15.9,51.28923313,7.616,61,34.31341665,-1.19283E+11,4624.299805,15454.91992,98.70659917,55.3
2012,5.456387552,9.478996914,2.473520489,53.43723333,4.48,4.484E+11,5.71307E+11,23995685014,13.5,51.88850765,7.666,60.8,33.43693433,-1.22906E+11,5905.100098,19426.71094,98.85213833,54.5
2013,6.386106401,10.01787847,3.865992863,58.59784542,4.48,4.7218E+11,5.27555E+11,28153031270,13.6,52.38570952,7.711,60.6,31.29580085,-55375035766,6304,21170.67969,99.3881475,51
2014,7.410227605,6.665656719,6.69517609,61.02951446,4.1,4.68346E+11,5.29239E+11,34576643694,10.9,51.88218736,7.674,60.4,30.08023706,-60893612908,8282.700195,27499.41992,99.94242583,52.5
2015,7.996253786,4.906973441,7.556488414,64.15194446,3.9,4.16788E+11,4.65098E+11,44009492130,10.1,51.86752408,7.631,60.2,28.73314413,-48309654578,7946.350098,26117.53906,100.5531583,52.3
2016,8.256305502,4.948216341,6.232711415,67.19531281,3.5,4.39643E+11,4.80169E+11,44458571546,10.1,49.10122542,7.601,60,28.18843788,-40526477692,8185.799805,26626.46094,100.4425417,52.4
2017,6.795383419,3.328173375,5.327608862,65.12156865,3.5,4.98259E+11,5.82018E+11,39966091359,10.5,48.7940214,7.618,59.8,28.17781362,-83759204290,10530.7002,34056.82813,100.8830417,51.2
2018,6.453851345,3.938826467,5.36166639,68.38946709,3.4,5.38635E+11,6.40301E+11,42117450737,10.2,50.33816275,7.652,59.6,29.46306815,-1.01666E+11,10862.5498,36068.32813,101.0799,53.2
2019,3.871436941,3.729505735,6.894875427,70.42034054,3.4,5.29245E+11,6.02315E+11,50610647354,10.5,50.74246174,6.51,59.4,28.45454433,-73069992885,12168.4502,41253.73828,100.7387917,52.5
2020,-5.777724707,6.623436776,4.135999578,74.09956688,9.17,4.99729E+11,5.10245E+11,64362364994,12.2,54.50529025,7.859,59.2,27.32432137,-10516218300,13981.75,47751.32813,98.82693917,49.6
2021,9.689592492,5.131407472,0.316945144,73.91801282,6.91,6.77769E+11,7.60903E+11,44727277563,12.8,50.14215814,6.38,59,29.57803452,-83133636377,17354.05078,58253.82031,99.82691417,53.8
2022,6.987039326,6.699034141,1.704610929,78.60449058,6.44,7.78022E+11,8.97551E+11,49940258404,,,4.822,58.8,30.74986208,-1.19529E+11,18105.30078,60840.73828,97.32029583,55.5
2023,8.152936311,5.649143189,,82.59927645,5.63,7.79446E+11,8.5884E+11,28078983530,,,4.172,,30.83397927,-79393265768,21731.40039,72240.25781,98.2279075,56.7
